_invalid_reason,_valid,alerts,analytics_emitted,analytics_throughput,batches,broker,dropped,duration_s,e2e_latency_s,emitted,first_alert_after_reconnect,ingest_emitted,ingest_throughput,last_mean,level,loss_pct,num_devices,peak_backlog,persisted,received,recovery_s,run_id,storage_emitted,storage_lag_ms,storage_p95_lag_ms,storage_throughput,throughput_msg_per_sec,total_cpu_avg,total_mem_mb_avg
,True,3,0,0,147,kafka,0,30,,30000,,30000.0,0.0,90.79,acksall,0.0,100,0,30000,30000,,scenario-A-kafka-100-acksall,30000.0,0.0,0.0,0,1000.0,111.72,654.43
,True,3,0,0,676,kafka,0,30,,300000,,300000.0,0.0,90.71,acks0,0.0,1000,0,300000,300000,,scenario-A-kafka-1000-acks0,300000.0,0.0,0.0,0,10000.0,125.22,736.26
,True,3,0,0,666,kafka,0,30,,300000,,300000.0,0.0,90.71,acks1,0.0,1000,0,300000,300000,,scenario-A-kafka-1000-acks1,300000.0,0.0,0.0,0,10000.0,132.1,695.78
,True,3,0,0,675,kafka,0,30,,300000,,300000.0,0.0,90.7,acksall,0.0,1000,0,300000,300000,,scenario-A-kafka-1000-acksall,300000.0,0.0,0.0,0,10000.0,140.7,757.14
,True,3,0,0,6070,kafka,0,30,,3000000,,3000000.0,0.0,90.71,acksall,0.0,10000,0,3000000,3000000,,scenario-A-kafka-10000-acksall,3000000.0,0.0,0.0,0,100000.0,200.66,1039.07
,True,2,0,0,150,mqtt,0,30,,30000,,30000.0,0.0,90.7,qos1,0.0,100,0,30000,30000,,scenario-A-mqtt-100-qos1,30000.0,1.0,0.0,0,1000.0,83.17,199.11
,True,3,0,0,671,mqtt,0,30,,300000,,300000.0,0.0,90.71,qos0,0.0,1000,0,300000,300000,,scenario-A-mqtt-1000-qos0,300000.0,0.0,0.0,0,10000.0,138.41,155.08
,True,3,0,0,669,mqtt,0,30,,300000,,300000.0,0.0,90.71,qos1,0.0,1000,0,300000,300000,,scenario-A-mqtt-1000-qos1,300000.0,0.0,0.0,0,10000.0,283.31,155.25
,True,3,0,0,677,mqtt,0,30,,300000,,300000.0,0.0,90.7,qos2,0.0,1000,0,300000,300000,,scenario-A-mqtt-1000-qos2,300000.0,0.0,0.0,0,10000.0,430.47,181.0
,True,1,0,0,1206,mqtt,0,30,,3000000,,3000000.0,0.0,90.71,qos1,81.37,10000,60,559020,559080,,scenario-A-mqtt-10000-qos1,559080.0,0.0,0.0,0,100000.0,574.47,1080.32
